"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"NE555DR","Texas Instruments","296-6501-1-ND","","","Cut Tape (CT)","Active","5","0.48000","$2.40","40630","6 Weeks","IC OSC SGL TIMER 100KHZ 8-SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"BC847CLT1G","ON Semiconductor","BC847CLT1GOSCT-ND","","","Cut Tape (CT)","Active","10","0.12900","$1.29","339446","8 Weeks","TRANS NPN 45V 0.1A SOT23","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"2N7002","ON Semiconductor","2N7002NCT-ND","","","Cut Tape (CT)","Active","5","0.39000","$1.95","2096744","20 Weeks","MOSFET N-CH 60V 115MA SOT-23","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"293D106X0035D2TE3","Vishay Sprague","718-1046-1-ND","","","Cut Tape (CT)","Active","5","0.73000","$3.65","81994","12 Weeks","CAP TANT 10UF 20% 35V 2917","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"CC1206KRX7R9BB103","Yageo","311-1174-1-ND","","","Cut Tape (CT)","Active","10","0.18200","$1.82","407403","17 Weeks","CAP CER 10000PF 50V X7R 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"CL31B104KBCNNNC","Samsung Electro-Mechanics","1276-1017-1-ND","","","Cut Tape (CT)","Active","10","0.08800","$0.88","15787","Not Available","CAP CER 0.1UF 50V X7R 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"1N4148W-TP","Micro Commercial Co","1N4148WTPMSCT-ND","","","Cut Tape (CT)","Active","15","0.12500","$1.87","1513615","14 Weeks","DIODE GEN PURP 100V 150MA SOD123","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"67997-410HLF","Amphenol ICC (FCI)","609-3243-ND","","","Bag","Active","3","0.28000","$0.84","46083","7 Weeks","CONN HEADER VERT 10POS 2.54MM","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"4832.2211","Schurter Inc.","486-3418-ND","","","Bulk","Active","6","1.50000","$9.00","244","23 Weeks","CONN JACK MONO 3.5MM PNL MNT","RoHS Compliant","Lead free","REACH Unaffected",""
"RC1206FR-071M2L","Yageo","311-1.20MFRCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","67555","16 Weeks","RES SMD 1.2M OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CRGP1206F22K","TE Connectivity Passive Product","A130554CT-ND","","","Cut Tape (CT)","Active","15","0.27800","$4.17","33308","Not Available","CRGP 1206 22K 1%","RoHS Compliant","Lead free","Not Available",""
"RMCF1206JT1M00","Stackpole Electronics Inc","RMCF1206JT1M00CT-ND","","","Cut Tape (CT)","Active","10","0.02800","$0.28","82878","17 Weeks","RES 1M OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"ERJ-P08J100V","Panasonic Electronic Components","P10ALCT-ND","","","Cut Tape (CT)","Active","5","0.17000","$0.85","339567","18 Weeks","RES SMD 10 OHM 5% 2/3W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"CRGCQ1206J4K7","TE Connectivity Passive Product","A130181CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","101170","28 Weeks","CRGCQ 1206 4K7 5%","RoHS Compliant","Lead free","Not Available",""
"RNCP1206FTD100R","Stackpole Electronics Inc","RNCP1206FTD100RCT-ND","","","Cut Tape (CT)","Active","10","0.09300","$0.93","679222","18 Weeks","RES 100 OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"RC1206JR-071KL","Yageo","311-1.0KERCT-ND","","","Cut Tape (CT)","Active","10","0.06500","$0.65","4173956","16 Weeks","RES SMD 1K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"P160KNP-0EC15B25K","TT Electronics/BI","987-1726-ND","","","Tray","Active","3","0.79000","$2.37","663","10 Weeks","POT 25K OHM 1/5W PLASTIC LINEAR","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"TL074CDR","Texas Instruments","296-1283-1-ND","","","Cut Tape (CT)","Active","5","0.60000","$3.00","71739","12 Weeks","IC OPAMP JFET 3MHZ 14SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"P160KNP-0EC15A1MEG","TT Electronics/BI","987-1719-ND","","","Tray","Active","10","0.71300","$7.13","614","10 Weeks","POT 1M OHM 1/10W PLASTIC LOG","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
