"Source:","C:\Users\Jonathan Kayne\Documents\KiCAD\Modular Synth\EG\EG.sch"
"Date:","05/26/19 18:08:24"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","43"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Link","Digikey PN","Field4","Field5","Field6","Field7","Field8","Field9","Unit Price"
"","","C1","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C2","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C3","10nF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nf4h","311-1174-1-ND","","","","","","","0.25"
"","","C4","10nF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nf4h","311-1174-1-ND","","","","","","","0.25"
"","","C5","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C6","10uF","Device:CP1","Synth:CP_Tantalum_7343","~","https://www.digikey.com/short/p4nf4z","718-1046-1-ND","","","","","","","0.70"
"","","CN1","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","CN2","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","CN3","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","CN4","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","D1","1N4148W","Diode:1N4148W","Synth:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","https://www.digikey.com/short/p4nrm2","1N4148WTPMSCT-ND","","","","","","","0.14"
