"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"AWSCR-16.00MTD-T","Abracon LLC","535-9362-1-ND","","","Cut Tape (CT)","Active","5","0.41000","$2.05","19006","12 Weeks","CER RES 16.0000MHZ 22PF SMD","RoHS Compliant","Contains lead","REACH Affected","Tariff Applied"
"ATMEGA328P-AUR","Microchip Technology","ATMEGA328P-AURCT-ND","","","Cut Tape (CT)","Active","1","2.14000","$2.14","43519","7 Weeks","IC MCU 8BIT 32KB FLASH 32TQFP","RoHS Compliant","Lead free","REACH Unaffected",""
"VJ1206Y104KXACW1BC","Vishay Vitramon","720-1540-1-ND","","","Cut Tape (CT)","Active","30","0.23700","$7.11","3905","14 Weeks","CAP CER 0.1UF 50V X7R 1206","RoHS Compliant","Lead free","Not Available","Tariff Eligible"
"4832.2211","Schurter Inc.","486-3418-ND","","","Bulk","Active","13","1.50000","$19.50","144","23 Weeks","CONN JACK MONO 3.5MM PNL MNT","RoHS Compliant","Lead free","REACH Unaffected",""
"67997-410HLF","Amphenol ICC (FCI)","609-3243-ND","","","Bag","Active","1","0.28000","$0.28","45630","7 Weeks","CONN HEADER VERT 10POS 2.54MM","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"TL074CDR","Texas Instruments","296-1283-1-ND","","","Cut Tape (CT)","Active","5","0.60000","$3.00","70322","12 Weeks","IC OPAMP JFET 3MHZ 14SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"RC1206JR-071KL","Yageo","311-1.0KERCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","4162550","16 Weeks","RES SMD 1K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CRGCQ1206J4K7","TE Connectivity Passive Product","A130181CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","101159","28 Weeks","CRGCQ 1206 4K7 5%","RoHS Compliant","Lead free","Not Available",""
"RC1206FR-07220RL","Yageo","311-220FRCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","912819","16 Weeks","RES SMD 220 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"C1206C105K4RACTU","KEMET","399-1254-1-ND","","","Cut Tape (CT)","Active","10","0.15600","$1.56","286401","27 Weeks","CAP CER 1UF 16V X7R 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"C1206C475Z4VACTU","KEMET","399-1262-1-ND","","","Cut Tape (CT)","Active","5","0.27000","$1.35","127000","24 Weeks","CAP CER 4.7UF 16V Y5V 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"1N914","ON Semiconductor","1N914FS-ND","","","Bulk","Active","1","0.10000","$0.10","48089","17 Weeks","DIODE GEN PURP 100V 200MA DO35","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"2040002-1","TE Connectivity AMP Connectors","A108263CT-ND","","","Cut Tape (CT)","Active","1","2.40000","$2.40","8506","5 Weeks","CONN RCPT USB2.0 MICRO B SMD R/A","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"FT232RL-REEL","FTDI, Future Technology Devices International Ltd","768-1007-1-ND","","","Cut Tape (CT)","Active","1","4.50000","$4.50","126000","10 Weeks","IC USB FS SERIAL UART 28-SSOP","RoHS Compliant","Lead free","REACH Unaffected",""
"AD5293BRUZ-100-RL7","Analog Devices Inc.","AD5293BRUZ-100-RL7CT-ND","","","Cut Tape (CT)","Active","10","6.21800","$62.18","1884","7 Weeks","IC DGTL POT 1024POS 100K 14TSSOP","RoHS Compliant","Lead free","REACH Unaffected",""
"LM1117MP-5.0/NOPB","Texas Instruments","LM1117MP-5.0/NOPBCT-ND","","","Cut Tape (CT)","Active","5","1.14000","$5.70","25028","6 Weeks","IC REG LINEAR 5V 800MA SOT223","RoHS Compliant","Lead free","REACH Unaffected",""
"6N138","Lite-On Inc.","160-1795-ND","","","Tube","Active","1","0.81000","$0.81","4094","10 Weeks","OPTOISO 5KV DARL W/BASE 8DIP","RoHS Compliant","Lead free","Not Available",""
"61300211121","Wurth Electronics Inc.","732-5315-ND","","","Bag","Active","1","0.13000","$0.13","125946","14 Weeks","CONN HEADER VERT 2POS 2.54MM","RoHS Compliant","Lead free","REACH Unaffected",""
"QPC02SXGN-RC","Sullins Connector Solutions","S9337-ND","","","Bag","Active","1","0.10000","$0.10","389104","5 Weeks","CONN JUMPER SHORTING .100"" GOLD","RoHS Compliant","Lead free","REACH Unaffected",""
"SD-50SN","CUI Inc.","CP-1250-ND","","","Bag","Active","1","3.17000","$3.17","3868","11 Weeks","CONN RCPT FMALE DIN 5POS SOLDER","RoHS Compliant","Lead free","Not Available","Tariff Applied"
