"Source:","C:\Users\Jonathan Kayne\Documents\KiCAD\Modular Synth\MIDI Controller\MIDI Controller.sch"
"Date:","05/26/19 18:08:59"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","62"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Link","Digikey PN","Field4","Field5","Field6","Field7","Field8","Field9","Unit Price"
"","","A1","Arduino_Nano_v3.x","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","https://smile.amazon.com/dp/B00NLAMS9C","B00NLAMS9C","","","","","","","8.99"
"","","C7","1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrpn","399-1254-1-ND","","","","","","","0.23"
"","","C8","1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrpn","399-1254-1-ND","","","","","","","0.23"
"","","C9","1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrpn","399-1254-1-ND","","","","","","","0.23"
"","","C10","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C11","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C12","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C13","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C14","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C15","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C17","1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrpn","399-1254-1-ND","","","","","","","0.23"
"","","C18","1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrpn","399-1254-1-ND","","","","","","","0.23"
"","","C19","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C20","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C21","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C22","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C23","1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrpn","399-1254-1-ND","","","","","","","0.23"
"","","C24","1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrpn","399-1254-1-ND","","","","","","","0.23"
