"Source:","C:\Users\Jonathan Kayne\Documents\KiCAD\Modular Synth\VCA\VCA.sch"
"Date:","5/27/2019 4:07:56 PM"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Link","Digikey PN","Unit Price"
"","","C1","0.22uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4d2tf","445-2283-1-ND","0.28"
"","","C2","0.22uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4d2tf","445-2283-1-ND","0.28"
"","","C3","10pF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrfm","311-1150-1-ND","0.23"
"","","C4","10pF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrfm","311-1150-1-ND","0.23"
"","","C5","10pF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrfm","311-1150-1-ND","0.23"
"","","C6","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","C7","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","C8","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","C9","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","C10","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","C11","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","CN1","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","0.00"
"","","CN2","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","0.00"
"","","CN3","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","0.00"
"","","CN4","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","0.00"
"","","J1","Schurter_4832_Jack","Synth:Schurter_4832_Jack","Synth:Schurter_4832_Jack","https://us.schurter.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_4832.2211.pdf","https://www.digikey.com/short/p4drjq","486-3418-ND","1.50"
"","","J2","Schurter_4832_Jack","Synth:Schurter_4832_Jack","Synth:Schurter_4832_Jack","https://us.schurter.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_4832.2211.pdf","https://www.digikey.com/short/p4drjq","486-3418-ND","1.50"
"","","J3","Schurter_4832_Jack","Synth:Schurter_4832_Jack","Synth:Schurter_4832_Jack","https://us.schurter.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_4832.2211.pdf","https://www.digikey.com/short/p4drjq","486-3418-ND","1.50"
"","","J4","Schurter_4832_Jack","Synth:Schurter_4832_Jack","Synth:Schurter_4832_Jack","https://us.schurter.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_4832.2211.pdf","https://www.digikey.com/short/p4drjq","486-3418-ND","1.50"
"","","J5","Schurter_4832_Jack","Synth:Schurter_4832_Jack","Synth:Schurter_4832_Jack","https://us.schurter.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_4832.2211.pdf","https://www.digikey.com/short/p4drjq","486-3418-ND","1.50"
"","","J6","Power","Connector_Generic:Conn_02x05_Odd_Even","Synth:PinHeader_2x05_P2.54mm_Vertical_Zigzag","~","https://www.digikey.com/short/p4nr5h","609-3243-ND","0.27"
"","","J7","Schurter_4832_Jack","Synth:Schurter_4832_Jack","Synth:Schurter_4832_Jack","https://us.schurter.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_4832.2211.pdf","https://www.digikey.com/short/p4drjq","486-3418-ND","1.50"
"","","Q1","MMBT3906","Transistor_BJT:MMBT3906","TO_SOT_Packages_SMD:SOT-23_Handsoldering","https://www.fairchildsemi.com/datasheets/2N/2N3906.pdf","https://www.digikey.com/short/p4d2t1","MMBT3906LT1GOSCT-ND","0.15"
"","","Q2","MMBT3906","Transistor_BJT:MMBT3906","TO_SOT_Packages_SMD:SOT-23_Handsoldering","https://www.fairchildsemi.com/datasheets/2N/2N3906.pdf","https://www.digikey.com/short/p4d2t1","MMBT3906LT1GOSCT-ND","0.15"
"","","R1","270k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4d23b","A129839CT-ND","0.10"
"","","R2","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
"","","R3","330k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4d23d","P330KBCCT-ND","0.66"
"","","R4","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
"","","R5","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
"","","R6","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
"","","R7","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
"","","R8","4.7k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr81","A130181CT-ND","0.10"
"","","R9","270k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4d23b","A129839CT-ND","0.10"
"","","R10","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
"","","R11","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
"","","R12","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
"","","R13","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
"","","R14","10k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrn3","RMCF1206JT10K0CT-ND","0.1"
"","","R15","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
"","","R16","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","0.07"
