"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"T491X107M025AT","KEMET","399-9749-1-ND","","","Cut Tape (CT)","Active","5","2.71000","$13.55","33073","12 Weeks","CAP TANT 100UF 20% 25V 2917","RoHS Compliant","Lead free","REACH Unaffected",""
"2N3392","Central Semiconductor Corp","2N3392CS-ND","","","Bulk","Active","10","0.66800","$6.68","5219","20 Weeks","TRANS NPN 25V TO-92","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"TL072CDR","Texas Instruments","296-1282-1-ND","","","Cut Tape (CT)","Active","5","0.62000","$3.10","60071","6 Weeks","IC OPAMP JFET 3MHZ 8SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"CL31B104KBCNNNC","Samsung Electro-Mechanics","1276-1017-1-ND","","","Cut Tape (CT)","Active","10","0.08800","$0.88","21218","Not Available","CAP CER 0.1UF 50V X7R 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"67997-410HLF","Amphenol ICC (FCI)","609-3243-ND","","","Bag","Active","1","0.28000","$0.28","46149","7 Weeks","CONN HEADER VERT 10POS 2.54MM","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"4832.2211","Schurter Inc.","486-3418-ND","","","Bulk","Active","3","1.50000","$4.50","244","23 Weeks","CONN JACK MONO 3.5MM PNL MNT","RoHS Compliant","Lead free","REACH Unaffected",""
"CRGCQ1206F100K","TE Connectivity Passive Product","A129834CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","105746","28 Weeks","CRGCQ 1206 100K 1%","RoHS Compliant","Lead free","Not Available",""
"PT10MV10-103A2020-S","Amphenol Piher Sensing Systems","1993-1104-ND","","","Bulk","Active","1","0.46000","$0.46","6282","6 Weeks","POT 10K OHM LINEAR","RoHS Compliant","Lead free","Not Available",""
"P160KNP-0EC15B25K","TT Electronics/BI","987-1726-ND","","","Tray","Active","2","0.79000","$1.58","663","10 Weeks","POT 25K OHM 1/5W PLASTIC LINEAR","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"RMCF1206JT33K0","Stackpole Electronics Inc","RMCF1206JT33K0CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","49098","17 Weeks","RES 33K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RNCP1206FTD4K99","Stackpole Electronics Inc","RNCP1206FTD4K99CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","87951","18 Weeks","RES 4.99K OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"RNCP1206FTD68K1","Stackpole Electronics Inc","RNCP1206FTD68K1CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","135983","18 Weeks","RES 68.1K OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"RNCP1206FTD1K00","Stackpole Electronics Inc","RNCP1206FTD1K00CT-ND","","","Cut Tape (CT)","Active","10","0.09300","$0.93","650800","18 Weeks","RES 1K OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"CRGCQ1206F12K","TE Connectivity Passive Product","A129823CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","30562","28 Weeks","CRGCQ 1206 12K 1%","RoHS Compliant","Lead free","Not Available",""
"RC1206FR-072K74L","Yageo","311-2.74KFRCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","97937","16 Weeks","RES SMD 2.74K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RNCP1206FTD100R","Stackpole Electronics Inc","RNCP1206FTD100RCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","824311","18 Weeks","RES 100 OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"RNCP1206FTD6K81","Stackpole Electronics Inc","RNCP1206FTD6K81CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","15785","18 Weeks","RES 6.81K OHM 1% 1/2W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"CL31B225KAHNNNE","Samsung Electro-Mechanics","1276-1072-1-ND","","","Cut Tape (CT)","Active","5","0.22000","$1.10","419041","Not Available","CAP CER 2.2UF 25V X7R 1206","RoHS Compliant","Lead free","REACH Unaffected",""
