"Source:","C:\Users\Jonathan Kayne\Documents\KiCAD\Modular Synth\VCF\VCF.sch"
"Date:","05/26/19 17:46:18"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","62"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Link","Digikey PN","Field4","Field5","Field6","Field7","Field8","Field9","Unit Price"
"","","C1","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"","","C2","100uF","Device:CP1","Synth:CP_Tantalum_7343","~","https://www.digikey.com/short/p4nfcn","399-9749-1-ND","","","","","","","2.71"
"","","C3","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C4","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C5","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C6","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C7","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C8","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"","","C9","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C10","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C11","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"","","C12","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"","","C13","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"","","C14","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C15","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","CN1","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","CN2","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","CN3","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","CN4","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","J1","Power","Connector_Generic:Conn_02x05_Odd_Even","Synth:PinHeader_2x05_P2.54mm_Vertical_Zigzag","~","https://www.digikey.com/short/p4nr5h","609-3243-ND","","","","","","","0.27"
