"Source:","C:\Users\Jonathan Kayne\Documents\KiCAD\Modular Synth\VCO_2\VCO_2.sch"
"Date:","5/2/2019 2:40:57 PM"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","100"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7","Field8","Field9"
"","","C1","100nF","Device:C","Synth:C_1206","~","","","","","",""
"","","C2","100nF","Device:C","Synth:C_1206","~","","","","","",""
"","","C3","100nF","Device:C","Synth:C_1206","~","","","","","",""
"","","C4","100pF","Device:C","Synth:C_1206","~","","","","","",""
"","","C5","220pF","Device:C","Synth:C_1206","~","","","","","",""
"","","C6","47pF","Device:C","Synth:C_1206","~","","","","","",""
"","","C7","22uF","Device:CP1","Synth:CP_Tantalum_7343","~","","","","","",""
"","","C8","22uF","Device:CP1","Synth:CP_Tantalum_7343","~","","","","","",""
"","","C9","10pF","Device:C","Synth:C_1206","~","","","","","",""
"","","C10","100nF","Device:C","Synth:C_1206","~","","","","","",""
"","","C11","100nF","Device:C","Synth:C_1206","~","","","","","",""
"","","C12","47pF","Device:C","Synth:C_1206","~","","","","","",""
"","","C13","47pF","Device:C","Synth:C_1206","~","","","","","",""
"","","D1","1N4148W","Diode:1N4148W","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","","","","","",""
"","","D2","1N4148W","Diode:1N4148W","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","","","","","",""
"","","D3","1N4148W","Diode:1N4148W","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","","","","","",""
"","","D4","1N4148W","Diode:1N4148W","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","","","","","",""
"","","D5","BAV99","Diode:BAV99","Package_TO_SOT_SMD:SOT-23","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","","","","","",""
"","","J1","MJ-3502","Synth:MJ-3502","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc."
"","","J2","MJ-3502","Synth:MJ-3502","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc."
"","","J3","MJ-3502","Synth:MJ-3502","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc."
"","","J4","MJ-3502","Synth:MJ-3502","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc."
"","","J5","MJ-3502","Synth:MJ-3502","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc."
"","","J6","MJ-3502","Synth:MJ-3502","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc."
"","","J7","Power","Connector_Generic:Conn_02x05_Odd_Even","Synth:PinHeader_2x05_P2.54mm_Vertical_Zigzag","~","","","","","",""
"","","J8","MJ-3502","Synth:MJ-3502","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc."
"","","J9","MJ-3502","Synth:MJ-3502","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc."
"","","J10","MJ-3502","Synth:MJ-3502","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc."
"","","J11","MJ-3502","Synth:MJ-3502","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc."
"","","Q1","BC857BS","Transistor_BJT:BC857BS","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BC857BS.pdf","","","","","",""
"","","Q2","MMBFJ112","Transistor_FET:BF545A","Package_TO_SOT_SMD:SOT-23","https://www.nxp.com/docs/en/data-sheet/BF545A_BF545B_BF545C.pdf","","","","","",""
"","","R1","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R2","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R3","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R4","3.3M","Device:R","Synth:R_1206","~","","","","","",""
"","","R5","220k","Device:R","Synth:R_1206","~","","","","","",""
"","","R6","470k","Device:R","Synth:R_1206","~","","","","","",""
"","","R7","68k","Device:R","Synth:R_1206","~","","","","","",""
"","","R8","50k","Device:R","Synth:R_1206","~","","","","","",""
"","","R9","47k","Device:R","Synth:R_1206","~","","","","","",""
"","","R10","33k","Device:R","Synth:R_1206","~","","","","","",""
"","","R11","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R12","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R13","22k","Device:R","Synth:R_1206","~","","","","","",""
"","","R14","1k Tempco","Device:R","Synth:Tempco_Resistor_SOT363","~","","","","","",""
"","","R15","1M","Device:R","Synth:R_1206","~","","","","","",""
"","","R16","1M","Device:R","Synth:R_1206","~","","","","","",""
"","","R17","10k","Device:R","Synth:R_1206","~","","","","","",""
"","","R18","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R19","33k","Device:R","Synth:R_1206","~","","","","","",""
"","","R20","1M","Device:R","Synth:R_1206","~","","","","","",""
"","","R21","7.5k","Device:R","Synth:R_1206","~","","","","","",""
"","","R22","7.5k","Device:R","Synth:R_1206","~","","","","","",""
"","","R23","10","Device:R","Synth:R_1206","~","","","","","",""
"","","R24","10","Device:R","Synth:R_1206","~","","","","","",""
"","","R25","10k","Device:R","Synth:R_1206","~","","","","","",""
"","","R26","5.6k","Device:R","Synth:R_1206","~","","","","","",""
"","","R27","10k","Device:R","Synth:R_1206","~","","","","","",""
"","","R28","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R29","10k","Device:R","Synth:R_1206","~","","","","","",""
"","","R30","180k","Device:R","Synth:R_1206","~","","","","","",""
"","","R31","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R32","220k","Device:R","Synth:R_1206","~","","","","","",""
"","","R33","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R34","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R35","10k","Device:R","Synth:R_1206","~","","","","","",""
"","","R36","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R37","470k","Device:R","Synth:R_1206","~","","","","","",""
"","","R38","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R39","50k","Device:R","Synth:R_1206","~","","","","","",""
"","","R40","150k","Device:R","Synth:R_1206","~","","","","","",""
"","","R41","100k","Device:R","Synth:R_1206","~","","","","","",""
"","","R42","10k","Device:R","Synth:R_1206","~","","","","","",""
"","","R43","200k","Device:R","Synth:R_1206","~","","","","","",""
"","","R44","4.7k","Device:R","Synth:R_1206","~","","","","","",""
"","","R45","1k","Device:R","Synth:R_1206","~","","","","","",""
"","","R46","1k","Device:R","Synth:R_1206","~","","","","","",""
"","","R47","150k","Device:R","Synth:R_1206","~","","","","","",""
"","","R48","1.5k","Device:R","Synth:R_1206","~","","","","","",""
"","","R49","22k","Device:R","Synth:R_1206","~","","","","","",""
"","","R50","15k","Device:R","Synth:R_1206","~","","","","","",""
"","","R51","1k","Device:R","Synth:R_1206","~","","","","","",""
"","","R52","1k","Device:R","Synth:R_1206","~","","","","","",""
"","","RV1","220k","Device:R_POT","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","~","","","","","",""
"","","RV2","25k","Device:R_POT","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","~","","","","","",""
"","","RV3","25k","Device:R_POT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","",""
"","","RV4","100k","Device:R_POT","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","~","","","","","",""
