"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"1N4148W-TP","Micro Commercial Co","1N4148WTPMSCT-ND","","","Cut Tape (CT)","Active","5","0.14000","$0.70","1724001","14 Weeks","DIODE GEN PURP 100V 150MA SOD123","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"BAV99","ON Semiconductor","BAV99FSCT-ND","","","Cut Tape (CT)","Obsolete","5","0.26000","$1.30","2190","Not Available","DIODE ARRAY GP 70V 200MA SOT23-3","RoHS Compliant","Lead free","REACH Unaffected",""
"BC857BS-13-F","Diodes Incorporated","BC857BS-13-FDICT-ND","","","Cut Tape (CT)","Active","5","0.25000","$1.25","4217","24 Weeks","TRANS 2PNP 45V 0.1A SOT363","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"MMBFJ112","ON Semiconductor","MMBFJ112CT-ND","","","Cut Tape (CT)","Active","5","0.63000","$3.15","16381","42 Weeks","JFET N-CH 35V 0.35W SOT-23","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"TL074CDR","Texas Instruments","296-1283-1-ND","","","Cut Tape (CT)","Active","5","0.60000","$3.00","69335","12 Weeks","IC OPAMP JFET 3MHZ 14SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"OPA2137UA","Texas Instruments","OPA2137UA-ND","","","Tube","Active","2","2.51000","$5.02","2455","8 Weeks","IC OPAMP GP 1MHZ 8SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"LM311M/NOPB","Texas Instruments","LM311MNS/NOPB-ND","","","Tube","Active","3","0.87000","$2.61","6035","6 Weeks","IC VOLTAGE COMPARATOR 8-SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"L78L12ACUTR","STMicroelectronics","497-1195-1-ND","","","Cut Tape (CT)","Active","5","0.44000","$2.20","35149","10 Weeks","IC REG LINEAR 12V 100MA SOT89-3","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"L79L12ACUTR","STMicroelectronics","497-7301-1-ND","","","Cut Tape (CT)","Active","5","0.46000","$2.30","11253","12 Weeks","IC REG LINEAR -12V 100MA SOT89-3","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"PT10MV11-224A2020-E-S","Amphenol Piher Sensing Systems","1993-1067-ND","","","Bulk","Active","1","0.46000","$0.46","6980","6 Weeks","POT 220K OHM LINEAR","RoHS Compliant","Lead free","Not Available",""
"PT10LV10-253A2020-PM-S","Amphenol Piher Sensing Systems","1993-1086-ND","","","Bulk","Active","1","0.46000","$0.46","6561","6 Weeks","POT 25K OHM LINEAR","RoHS Compliant","Lead free","Not Available",""
"PT10LV10-104A2020-PM-S","Amphenol Piher Sensing Systems","1993-1082-ND","","","Bulk","Active","1","0.46000","$0.46","15830","6 Weeks","POT 100K OHM LINEAR","RoHS Compliant","Lead free","Not Available",""
"PT10MV10-103A2020-S","Amphenol Piher Sensing Systems","1993-1104-ND","","","Bulk","Active","1","0.46000","$0.46","6333","6 Weeks","POT 10K OHM LINEAR","RoHS Compliant","Lead free","Not Available",""
"PT10LV10-473A2020-PM-S","Amphenol Piher Sensing Systems","1993-1089-ND","","","Bulk","Active","1","0.46000","$0.46","6614","6 Weeks","POT 47K OHM LINEAR","RoHS Compliant","Lead free","Not Available",""
"102PS1J","Littelfuse Inc.","615-1103-ND","","","Bulk","Active","5","2.17800","$10.89","188","24 Weeks","THERMISTOR PTC 1K OHM 5% DO35","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"4832.2211","Schurter Inc.","486-3418-ND","","","Bulk","Active","10","1.50000","$15.00","254","23 Weeks","CONN JACK MONO 3.5MM PNL MNT","RoHS Compliant","Lead free","REACH Unaffected",""
"67997-410HLF","Amphenol ICC (FCI)","609-3243-ND","","","Bag","Active","1","0.28000","$0.28","46570","7 Weeks","CONN HEADER VERT 10POS 2.54MM","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"CL31B104KBCNNNC","Samsung Electro-Mechanics","1276-1017-1-ND","","","Cut Tape (CT)","Active","10","0.08800","$0.88","67485","Not Available","CAP CER 0.1UF 50V X7R 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"C3216C0G2J101J060AA","TDK Corporation","445-2336-1-ND","","","Cut Tape (CT)","Active","10","0.19000","$1.90","114366","Not Available","CAP CER 100PF 630V C0G 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"C3216C0G2J221J060AA","TDK Corporation","445-2338-1-ND","","","Cut Tape (CT)","Active","10","0.19000","$1.90","75980","Not Available","CAP CER 220PF 630V C0G 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"CL31C470JIFNFNE","Samsung Electro-Mechanics","1276-3270-1-ND","","","Cut Tape (CT)","Active","10","0.12800","$1.28","15155","Not Available","CAP CER 47PF 1KV C0G/NP0 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"CC1206JRNPO9BN100","Yageo","311-1150-1-ND","","","Cut Tape (CT)","Active","5","0.24000","$1.20","79727","18 Weeks","CAP CER 10PF 50V C0G/NPO 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"TAJD226K020RNJ","AVX Corporation","478-3923-1-ND","","","Cut Tape (CT)","Active","5","0.65000","$3.25","14972","12 Weeks","CAP TANT 22UF 10% 20V 2917","RoHS Compliant","Lead free","REACH Unaffected",""
"CRGCQ1206F100K","TE Connectivity Passive Product","A129834CT-ND","","","Cut Tape (CT)","Active","20","0.07000","$1.40","105783","28 Weeks","CRGCQ 1206 100K 1%","RoHS Compliant","Lead free","Not Available",""
"CRGCQ1206F220K","TE Connectivity Passive Product","A129838CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","29836","28 Weeks","CRGCQ 1206 220K 1%","RoHS Compliant","Lead free","Not Available",""
"RC1206FR-0749K9L","Yageo","311-49.9KFRCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","1766349","16 Weeks","RES SMD 49.9K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CRGP1206F22K","TE Connectivity Passive Product","A130554CT-ND","","","Cut Tape (CT)","Active","5","0.33000","$1.65","33313","Not Available","CRGP 1206 22K 1%","RoHS Compliant","Lead free","Not Available",""
"CR1206-FX-2003ELF","Bourns Inc.","CR1206-FX-2003ELFCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","53934","22 Weeks","RES SMD 200K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"ERJ-8GEYJ335V","Panasonic Electronic Components","P3.3MECT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","53496","18 Weeks","RES SMD 3.3M OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"RMCF1206JT470K","Stackpole Electronics Inc","RMCF1206JT470KCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","102916","17 Weeks","RES 470K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RC1206JR-0768KL","Yageo","311-68KERCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","94863","16 Weeks","RES SMD 68K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RMCF1206JT47K0","Stackpole Electronics Inc","RMCF1206JT47K0CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","86466","17 Weeks","RES 47K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RMCF1206JT33K0","Stackpole Electronics Inc","RMCF1206JT33K0CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","49103","17 Weeks","RES 33K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RMCF1206JT1M00","Stackpole Electronics Inc","RMCF1206JT1M00CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","92936","17 Weeks","RES 1M OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RMCF1206JT10K0","Stackpole Electronics Inc","RMCF1206JT10K0CT-ND","","","Cut Tape (CT)","Active","10","0.02800","$0.28","1042128","17 Weeks","RES 10K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RC1206JR-077K5L","Yageo","311-7.5KERCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","169020","16 Weeks","RES SMD 7.5K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"ERJ-P08J100V","Panasonic Electronic Components","P10ALCT-ND","","","Cut Tape (CT)","Active","5","0.17000","$0.85","339584","18 Weeks","RES SMD 10 OHM 5% 2/3W 1206","RoHS Compliant","Lead free","REACH Unaffected",""
"RC1206JR-075K6L","Yageo","311-5.6KERCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","608386","16 Weeks","RES SMD 5.6K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RC1206JR-07180KL","Yageo","311-180KERCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","83498","16 Weeks","RES SMD 180K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RC1206JR-07150KL","Yageo","311-150KERCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","162142","16 Weeks","RES SMD 150K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"CRGCQ1206J4K7","TE Connectivity Passive Product","A130181CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","101205","28 Weeks","CRGCQ 1206 4K7 5%","RoHS Compliant","Lead free","Not Available",""
"RC1206JR-071KL","Yageo","311-1.0KERCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","4189759","16 Weeks","RES SMD 1K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RMCF1206JT1K50","Stackpole Electronics Inc","RMCF1206JT1K50CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","242267","17 Weeks","RES 1.5K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"RMCF1206JT15K0","Stackpole Electronics Inc","RMCF1206JT15K0CT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","96786","17 Weeks","RES 15K OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"P160KNP-0EC15B25K","TT Electronics/BI","987-1726-ND","","","Tray","Active","6","0.79000","$4.74","685","10 Weeks","POT 25K OHM 1/5W PLASTIC LINEAR","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
