"Source:","C:\Users\Jonathan Kayne\Documents\KiCAD\Modular Synth\VCO_2_RevB\VCO_2_RevB.sch"
"Date:","05/26/19 17:27:21"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","90"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Link","Digikey PN","Unit Price"
"","","C1","100nF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","C2","100nF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","C3","100nF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","C4","100pF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrr0","445-2336-1-ND","0.28"
"","","C5","220pF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrr1","445-2338-1-ND","0.28"
"","","C6","47pF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrfp","1276-3270-1-ND","0.19"
"","","C7","22uF","Device:CP1","Synth:CP_Tantalum_7343","~","https://www.digikey.com/short/p4nrf2","478-3923-1-ND","0.65"
"","","C8","22uF","Device:CP1","Synth:CP_Tantalum_7343","~","https://www.digikey.com/short/p4nrf2","478-3923-1-ND","0.65"
"","","C9","10pF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrfm","311-1150-1-ND","0.23"
"","","C10","100nF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","C11","100nF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","0.237"
"","","C12","47pF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrfp","1276-3270-1-ND","0.19"
"","","C13","47pF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nrfp","1276-3270-1-ND","0.19"
"","","CN1","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","0.00"
"","","CN2","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","0.00"
"","","CN3","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","0.00"
